Reg1,Reg2,Day,Event
Italy,Lombardia,2020-02-24,Schools Close
Italy,Veneto,2020-02-24,Schools Close
Italy,Emilia Romagna,2020-02-24,Schools Close
Italy,Lombardia,2020-03-01,Partial Lockdown
Italy,All,2020-03-05,Schools Close (National)
Italy,Lombardia,2020-03-08,Lockdown
Italy,All,2020-03-10,Lockdown (National)
US,New York,2020-03-23,Lockdown
US,California,2020-03-19,Lockdown
US,Pennsylvania,2020-03-19,Business Closure
US,Illinois,2020-03-21,Lockdown
US,New Jersey,2020-03-21,Lockdown
US,Texas,2020-03-20,Rec. Social Distancing
US,Florida,2020-03-17,Business Closure
US,Nevada,2020-03-20,Business Closure
US,Connecticut,2020-03-20,Business Closure
US,Louisiana,2020-03-23,Lockdown
US,Ohio,2020-03-24,Lockdown
US,Delaware,2020-03-24,Lockdown
